Fragment,Count,Time (ms),Size (bytes)
Cross.list-plandefinitions-xml,1,0,0
Cross.list-practitionerroles,1,0,306
Cross.list-practitionerroles-json,1,0,316
Cross.list-practitionerroles-xml,1,0,314
Cross.list-practitioners,1,0,306
Cross.list-practitioners-json,1,0,316
Cross.list-practitioners-xml,1,1,314
Cross.list-procedures,1,0,0
Cross.list-procedures-json,1,0,0
Cross.list-procedures-xml,1,0,0
Cross.list-profiles,1,0,580
Cross.list-profiles-mm,1,0,580
Cross.list-provenances,1,0,0
Cross.list-provenances-json,1,0,0
Cross.list-provenances-xml,1,0,0
Cross.list-questionnaireresponses,1,0,0
Cross.list-questionnaireresponses-json,1,0,0
Cross.list-questionnaireresponses-xml,1,0,0
Cross.list-questionnaires,1,0,0
Cross.list-questionnaires-json,1,0,0
Cross.list-questionnaires-xml,1,0,0
Cross.list-regulatedauthorizations,1,0,0
Cross.list-regulatedauthorizations-json,1,0,0
Cross.list-regulatedauthorizations-xml,1,0,0
Cross.list-relatedpeople,1,0,0
Cross.list-relatedpeople-json,1,0,0
Cross.list-relatedpeople-xml,1,0,0
Cross.list-requestorchestrations,1,0,0
Cross.list-requestorchestrations-json,1,0,0
Cross.list-requestorchestrations-xml,1,0,0
Cross.list-requirements,1,0,0
Cross.list-requirements-json,1,1,0
Cross.list-requirements-xml,1,1,0
Cross.list-researchstudies,1,0,0
Cross.list-researchstudies-json,1,0,0
Cross.list-researchstudies-xml,1,0,0
Cross.list-researchsubjects,1,0,0
Cross.list-researchsubjects-json,1,1,0
Cross.list-researchsubjects-xml,1,1,0
Cross.list-resources,1,0,0
Cross.list-resources-json,1,0,0
Cross.list-resources-xml,1,1,0
Cross.list-riskassessments,1,0,0
Cross.list-riskassessments-json,1,0,0
Cross.list-riskassessments-xml,1,0,0
Cross.list-schedules,1,0,0
Cross.list-schedules-json,1,0,0
Cross.list-schedules-xml,1,0,0
Cross.list-searchparameters,1,0,352
Cross.list-searchparameters-json,1,0,362
Cross.list-searchparameters-xml,1,0,360
Cross.list-servicerequests,1,0,0
Cross.list-servicerequests-json,1,0,0
Cross.list-servicerequests-xml,1,1,0
Cross.list-simple-accounts,1,0,0
Cross.list-simple-accounts-json,1,0,0
Cross.list-simple-accounts-xml,1,1,0
Cross.list-simple-activitydefinitions,1,0,0
Cross.list-simple-activitydefinitions-json,1,1,0
Cross.list-simple-activitydefinitions-xml,1,1,0
Cross.list-simple-actordefinitions,1,0,752
Cross.list-simple-actordefinitions-json,1,1,792
Cross.list-simple-actordefinitions-xml,1,1,784
Cross.list-simple-administrableproductdefinitions,1,0,0
Cross.list-simple-administrableproductdefinitions-json,1,0,0
Cross.list-simple-administrableproductdefinitions-xml,1,0,0
Cross.list-simple-adverseevents,1,0,0
Cross.list-simple-adverseevents-json,1,0,0
Cross.list-simple-adverseevents-xml,1,0,0
Cross.list-simple-allergyintolerances,1,0,0
Cross.list-simple-allergyintolerances-json,1,0,0
Cross.list-simple-allergyintolerances-xml,1,1,0
Cross.list-simple-appointmentresponses,1,0,0
Cross.list-simple-appointmentresponses-json,1,0,0
Cross.list-simple-appointmentresponses-xml,1,0,0
Cross.list-simple-appointments,1,0,0
Cross.list-simple-appointments-json,1,0,0
Cross.list-simple-appointments-xml,1,1,0
Cross.list-simple-artifactassessments,1,0,0
Cross.list-simple-artifactassessments-json,1,1,0
Cross.list-simple-artifactassessments-xml,1,1,0
Cross.list-simple-auditevents,1,0,0
Cross.list-simple-auditevents-json,1,0,0
Cross.list-simple-auditevents-xml,1,0,0
Cross.list-simple-basics,1,0,0
Cross.list-simple-basics-json,1,0,0
Cross.list-simple-basics-xml,1,0,0
Cross.list-simple-binaries,1,0,0
Cross.list-simple-binaries-json,1,1,0
Cross.list-simple-binaries-xml,1,1,0
Cross.list-simple-biologicallyderivedproductdispenses,1,0,0
Cross.list-simple-biologicallyderivedproductdispenses-json,1,0,0
Cross.list-simple-biologicallyderivedproductdispenses-xml,1,0,0
Cross.list-simple-biologicallyderivedproducts,1,0,0
Cross.list-simple-biologicallyderivedproducts-json,1,0,0
Cross.list-simple-biologicallyderivedproducts-xml,1,0,0
Cross.list-simple-bodystructures,1,0,0
Cross.list-simple-bodystructures-json,1,0,0
Cross.list-simple-bodystructures-xml,1,1,0
Cross.list-simple-bundles,1,0,142
Cross.list-simple-bundles-json,1,0,147
Cross.list-simple-bundles-xml,1,1,146
Cross.list-simple-byid-accounts,1,0,0
Cross.list-simple-byid-accounts-json,1,0,0
Cross.list-simple-byid-accounts-xml,1,0,0
Cross.list-simple-byid-activitydefinitions,1,0,0
Cross.list-simple-byid-activitydefinitions-json,1,0,0
Cross.list-simple-byid-activitydefinitions-xml,1,0,0
Cross.list-simple-byid-actordefinitions,1,0,752
Cross.list-simple-byid-actordefinitions-json,1,1,792
Cross.list-simple-byid-actordefinitions-xml,1,1,784
Cross.list-simple-byid-administrableproductdefinitions,1,0,0
Cross.list-simple-byid-administrableproductdefinitions-json,1,0,0
Cross.list-simple-byid-administrableproductdefinitions-xml,1,1,0
Cross.list-simple-byid-adverseevents,1,0,0
Cross.list-simple-byid-adverseevents-json,1,0,0
Cross.list-simple-byid-adverseevents-xml,1,1,0
Cross.list-simple-byid-allergyintolerances,1,0,0
Cross.list-simple-byid-allergyintolerances-json,1,0,0
Cross.list-simple-byid-allergyintolerances-xml,1,0,0
Cross.list-simple-byid-appointmentresponses,1,0,0
Cross.list-simple-byid-appointmentresponses-json,1,0,0
Cross.list-simple-byid-appointmentresponses-xml,1,0,0
Cross.list-simple-byid-appointments,1,0,0
Cross.list-simple-byid-appointments-json,1,0,0
Cross.list-simple-byid-appointments-xml,1,1,0
Cross.list-simple-byid-artifactassessments,1,0,0
Cross.list-simple-byid-artifactassessments-json,1,0,0
Cross.list-simple-byid-artifactassessments-xml,1,0,0
Cross.list-simple-byid-auditevents,1,1,0
Cross.list-simple-byid-auditevents-json,1,1,0
Cross.list-simple-byid-auditevents-xml,1,1,0
Cross.list-simple-byid-basics,1,0,0
Cross.list-simple-byid-basics-json,1,1,0
Cross.list-simple-byid-basics-xml,1,1,0
Cross.list-simple-byid-binaries,1,0,0
Cross.list-simple-byid-binaries-json,1,0,0
Cross.list-simple-byid-binaries-xml,1,0,0
Cross.list-simple-byid-biologicallyderivedproductdispenses,1,0,0
Cross.list-simple-byid-biologicallyderivedproductdispenses-json,1,0,0
Cross.list-simple-byid-biologicallyderivedproductdispenses-xml,1,1,0
Cross.list-simple-byid-biologicallyderivedproducts,1,0,0
Cross.list-simple-byid-biologicallyderivedproducts-json,1,0,0
Cross.list-simple-byid-biologicallyderivedproducts-xml,1,0,0
Cross.list-simple-byid-bodystructures,1,0,0
Cross.list-simple-byid-bodystructures-json,1,0,0
Cross.list-simple-byid-bodystructures-xml,1,0,0
Cross.list-simple-byid-bundles,1,0,142
Cross.list-simple-byid-bundles-json,1,0,147
Cross.list-simple-byid-bundles-xml,1,0,146
Cross.list-simple-byid-canonicalresources,1,0,0
Cross.list-simple-byid-canonicalresources-json,1,0,0
Cross.list-simple-byid-canonicalresources-xml,1,1,0
Cross.list-simple-byid-capabilitystatements,1,2,893
Cross.list-simple-byid-capabilitystatements-json,1,2,933
Cross.list-simple-byid-capabilitystatements-xml,1,2,925
Cross.list-simple-byid-careplans,1,0,0
Cross.list-simple-byid-careplans-json,1,0,0
Cross.list-simple-byid-careplans-xml,1,0,0
Cross.list-simple-byid-careteams,1,0,0
Cross.list-simple-byid-careteams-json,1,0,0
Cross.list-simple-byid-careteams-xml,1,0,0
Cross.list-simple-byid-chargeitemdefinitions,1,0,0
Cross.list-simple-byid-chargeitemdefinitions-json,1,0,0
Cross.list-simple-byid-chargeitemdefinitions-xml,1,0,0
Cross.list-simple-byid-chargeitems,1,0,0
Cross.list-simple-byid-chargeitems-json,1,0,0
Cross.list-simple-byid-chargeitems-xml,1,0,0
Cross.list-simple-byid-citations,1,0,0
Cross.list-simple-byid-citations-json,1,0,0
Cross.list-simple-byid-citations-xml,1,0,0
Cross.list-simple-byid-claimresponses,1,0,0
Cross.list-simple-byid-claimresponses-json,1,0,0
Cross.list-simple-byid-claimresponses-xml,1,0,0
Cross.list-simple-byid-claims,1,0,0
Cross.list-simple-byid-claims-json,1,0,0
Cross.list-simple-byid-claims-xml,1,0,0
Cross.list-simple-byid-clinicalimpressions,1,0,0
Cross.list-simple-byid-clinicalimpressions-json,1,0,0
Cross.list-simple-byid-clinicalimpressions-xml,1,0,0
Cross.list-simple-byid-clinicalusedefinitions,1,0,0
Cross.list-simple-byid-clinicalusedefinitions-json,1,0,0
Cross.list-simple-byid-clinicalusedefinitions-xml,1,0,0
Cross.list-simple-byid-codesystems,1,1,0
Cross.list-simple-byid-codesystems-json,1,1,0
Cross.list-simple-byid-codesystems-xml,1,1,0
Cross.list-simple-byid-communicationrequests,1,0,0
Cross.list-simple-byid-communicationrequests-json,1,0,0
Cross.list-simple-byid-communicationrequests-xml,1,0,0
Cross.list-simple-byid-communications,1,0,0
Cross.list-simple-byid-communications-json,1,0,0
Cross.list-simple-byid-communications-xml,1,0,0
Cross.list-simple-byid-compartmentdefinitions,1,0,0
Cross.list-simple-byid-compartmentdefinitions-json,1,0,0
Cross.list-simple-byid-compartmentdefinitions-xml,1,0,0
Cross.list-simple-byid-compositions,1,0,0
Cross.list-simple-byid-compositions-json,1,0,0
Cross.list-simple-byid-compositions-xml,1,0,0
Cross.list-simple-byid-conceptmaps,1,0,0
Cross.list-simple-byid-conceptmaps-json,1,1,0
Cross.list-simple-byid-conceptmaps-xml,1,1,0
Cross.list-simple-byid-conditiondefinitions,1,0,0
Cross.list-simple-byid-conditiondefinitions-json,1,0,0
Cross.list-simple-byid-conditiondefinitions-xml,1,0,0
Cross.list-simple-byid-conditions,1,0,0
Cross.list-simple-byid-conditions-json,1,0,0
Cross.list-simple-byid-conditions-xml,1,0,0
Cross.list-simple-byid-consents,1,0,0
Cross.list-simple-byid-consents-json,1,0,0
Cross.list-simple-byid-consents-xml,1,0,0
Cross.list-simple-byid-contracts,1,0,0
Cross.list-simple-byid-contracts-json,1,0,0
Cross.list-simple-byid-contracts-xml,1,0,0
Cross.list-simple-byid-coverageeligibilityrequests,1,0,0
Cross.list-simple-byid-coverageeligibilityrequests-json,1,0,0
Cross.list-simple-byid-coverageeligibilityrequests-xml,1,0,0
Cross.list-simple-byid-coverageeligibilityresponses,1,0,0
Cross.list-simple-byid-coverageeligibilityresponses-json,1,0,0
Cross.list-simple-byid-coverageeligibilityresponses-xml,1,0,0
Cross.list-simple-byid-coverages,1,0,0
Cross.list-simple-byid-coverages-json,1,0,0
Cross.list-simple-byid-coverages-xml,1,1,0
Cross.list-simple-byid-detectedissues,1,0,0
Cross.list-simple-byid-detectedissues-json,1,1,0
Cross.list-simple-byid-detectedissues-xml,1,1,0
Cross.list-simple-byid-deviceassociations,1,0,0
Cross.list-simple-byid-deviceassociations-json,1,0,0
Cross.list-simple-byid-deviceassociations-xml,1,0,0
Cross.list-simple-byid-devicedefinitions,1,0,0
Cross.list-simple-byid-devicedefinitions-json,1,0,0
Cross.list-simple-byid-devicedefinitions-xml,1,0,0
Cross.list-simple-byid-devicedispenses,1,0,0
Cross.list-simple-byid-devicedispenses-json,1,0,0
Cross.list-simple-byid-devicedispenses-xml,1,0,0
Cross.list-simple-byid-devicemetrics,1,0,0
Cross.list-simple-byid-devicemetrics-json,1,0,0
Cross.list-simple-byid-devicemetrics-xml,1,0,0
Cross.list-simple-byid-devicerequests,1,0,0
Cross.list-simple-byid-devicerequests-json,1,1,0
Cross.list-simple-byid-devicerequests-xml,1,1,0
Cross.list-simple-byid-devices,1,0,0
Cross.list-simple-byid-devices-json,1,0,0
Cross.list-simple-byid-devices-xml,1,0,0
Cross.list-simple-byid-deviceusages,1,1,0
Cross.list-simple-byid-deviceusages-json,1,1,0
Cross.list-simple-byid-deviceusages-xml,1,1,0
Cross.list-simple-byid-diagnosticreports,1,0,0
Cross.list-simple-byid-diagnosticreports-json,1,1,0
Cross.list-simple-byid-diagnosticreports-xml,1,1,0
Cross.list-simple-byid-documentreferences,1,0,0
Cross.list-simple-byid-documentreferences-json,1,0,0
Cross.list-simple-byid-documentreferences-xml,1,0,0
Cross.list-simple-byid-domainresources,1,0,0
Cross.list-simple-byid-domainresources-json,1,1,0
Cross.list-simple-byid-domainresources-xml,1,1,0
Cross.list-simple-byid-encounterhistories,1,0,0
Cross.list-simple-byid-encounterhistories-json,1,0,0
Cross.list-simple-byid-encounterhistories-xml,1,0,0
Cross.list-simple-byid-encounters,1,0,0
Cross.list-simple-byid-encounters-json,1,0,0
Cross.list-simple-byid-encounters-xml,1,0,0
Cross.list-simple-byid-endpoints,1,0,0
Cross.list-simple-byid-endpoints-json,1,0,0
Cross.list-simple-byid-endpoints-xml,1,0,0
Cross.list-simple-byid-enrollmentrequests,1,0,0
Cross.list-simple-byid-enrollmentrequests-json,1,0,0
Cross.list-simple-byid-enrollmentrequests-xml,1,1,0
Cross.list-simple-byid-enrollmentresponses,1,1,0
Cross.list-simple-byid-enrollmentresponses-json,1,1,0
Cross.list-simple-byid-enrollmentresponses-xml,1,1,0
Cross.list-simple-byid-episodeofcares,1,1,0
Cross.list-simple-byid-episodeofcares-json,1,1,0
Cross.list-simple-byid-episodeofcares-xml,1,1,0
Cross.list-simple-byid-eventdefinitions,1,1,0
Cross.list-simple-byid-eventdefinitions-json,1,1,0
Cross.list-simple-byid-eventdefinitions-xml,1,1,0
Cross.list-simple-byid-evidencereports,1,0,0
Cross.list-simple-byid-evidencereports-json,1,0,0
Cross.list-simple-byid-evidencereports-xml,1,0,0
Cross.list-simple-byid-evidences,1,0,0
Cross.list-simple-byid-evidences-json,1,0,0
Cross.list-simple-byid-evidences-xml,1,1,0
Cross.list-simple-byid-evidencevariables,1,0,0
Cross.list-simple-byid-evidencevariables-json,1,0,0
Cross.list-simple-byid-evidencevariables-xml,1,0,0
Cross.list-simple-byid-examplescenarios,1,0,0
Cross.list-simple-byid-examplescenarios-json,1,0,0
Cross.list-simple-byid-examplescenarios-xml,1,0,0
Cross.list-simple-byid-explanationofbenefits,1,0,0
Cross.list-simple-byid-explanationofbenefits-json,1,0,0
Cross.list-simple-byid-explanationofbenefits-xml,1,0,0
Cross.list-simple-byid-familymemberhistories,1,0,0
Cross.list-simple-byid-familymemberhistories-json,1,0,0
Cross.list-simple-byid-familymemberhistories-xml,1,1,0
Cross.list-simple-byid-flags,1,0,0
Cross.list-simple-byid-flags-json,1,1,0
Cross.list-simple-byid-flags-xml,1,1,0
Cross.list-simple-byid-formularyitems,1,0,0
Cross.list-simple-byid-formularyitems-json,1,0,0
Cross.list-simple-byid-formularyitems-xml,1,0,0
Cross.list-simple-byid-genomicstudies,1,0,0
Cross.list-simple-byid-genomicstudies-json,1,0,0
Cross.list-simple-byid-genomicstudies-xml,1,0,0
Cross.list-simple-byid-goals,1,0,0
Cross.list-simple-byid-goals-json,1,0,0
Cross.list-simple-byid-goals-xml,1,0,0
Cross.list-simple-byid-graphdefinitions,1,1,0
Cross.list-simple-byid-graphdefinitions-json,1,1,0
Cross.list-simple-byid-graphdefinitions-xml,1,1,0
Cross.list-simple-byid-groups,1,0,0
Cross.list-simple-byid-groups-json,1,0,0
Cross.list-simple-byid-groups-xml,1,0,0
Cross.list-simple-byid-guidanceresponses,1,1,0
Cross.list-simple-byid-guidanceresponses-json,1,1,0
Cross.list-simple-byid-guidanceresponses-xml,1,1,0
Cross.list-simple-byid-healthcareservices,1,0,0
Cross.list-simple-byid-healthcareservices-json,1,0,0
Cross.list-simple-byid-healthcareservices-xml,1,0,0
Cross.list-simple-byid-imagingselections,1,0,0
Cross.list-simple-byid-imagingselections-json,1,0,0
Cross.list-simple-byid-imagingselections-xml,1,1,0
Cross.list-simple-byid-imagingstudies,1,0,0
Cross.list-simple-byid-imagingstudies-json,1,1,0
Cross.list-simple-byid-imagingstudies-xml,1,1,0
Cross.list-simple-byid-immunizationevaluations,1,0,0
Cross.list-simple-byid-immunizationevaluations-json,1,0,0
Cross.list-simple-byid-immunizationevaluations-xml,1,0,0
Cross.list-simple-byid-immunizationrecommendations,1,0,0
Cross.list-simple-byid-immunizationrecommendations-json,1,0,0
Cross.list-simple-byid-immunizationrecommendations-xml,1,0,0
Cross.list-simple-byid-immunizations,1,0,0
Cross.list-simple-byid-immunizations-json,1,1,0
Cross.list-simple-byid-immunizations-xml,1,1,0
Cross.list-simple-byid-implementationguides,1,1,79
Cross.list-simple-byid-implementationguides-json,1,1,84
Cross.list-simple-byid-implementationguides-xml,1,1,83
Cross.list-simple-byid-ingredients,1,0,0
Cross.list-simple-byid-ingredients-json,1,1,0
Cross.list-simple-byid-ingredients-xml,1,1,0
Cross.list-simple-byid-insuranceplans,1,1,0
Cross.list-simple-byid-insuranceplans-json,1,1,0
Cross.list-simple-byid-insuranceplans-xml,1,1,0
Cross.list-simple-byid-inventoryitems,1,0,0
Cross.list-simple-byid-inventoryitems-json,1,0,0
Cross.list-simple-byid-inventoryitems-xml,1,1,0
Cross.list-simple-byid-inventoryreports,1,0,0
Cross.list-simple-byid-inventoryreports-json,1,0,0
Cross.list-simple-byid-inventoryreports-xml,1,0,0
Cross.list-simple-byid-invoices,1,0,0
Cross.list-simple-byid-invoices-json,1,0,0
Cross.list-simple-byid-invoices-xml,1,0,0
Cross.list-simple-byid-libraries,1,0,0
Cross.list-simple-byid-libraries-json,1,0,0
Cross.list-simple-byid-libraries-xml,1,0,0
Cross.list-simple-byid-linkages,1,0,0
Cross.list-simple-byid-linkages-json,1,0,0
Cross.list-simple-byid-linkages-xml,1,1,0
Cross.list-simple-byid-lists,1,0,0
Cross.list-simple-byid-lists-json,1,1,0
Cross.list-simple-byid-lists-xml,1,1,0
Cross.list-simple-byid-locations,1,0,0
Cross.list-simple-byid-locations-json,1,0,0
Cross.list-simple-byid-locations-xml,1,0,0
Cross.list-simple-byid-manufactureditemdefinitions,1,0,0
Cross.list-simple-byid-manufactureditemdefinitions-json,1,0,0
Cross.list-simple-byid-manufactureditemdefinitions-xml,1,0,0
Cross.list-simple-byid-measurereports,1,0,0
Cross.list-simple-byid-measurereports-json,1,0,0
Cross.list-simple-byid-measurereports-xml,1,1,0
Cross.list-simple-byid-measures,1,0,0
Cross.list-simple-byid-measures-json,1,0,0
Cross.list-simple-byid-measures-xml,1,0,0
Cross.list-simple-byid-medicationadministrations,1,0,0
Cross.list-simple-byid-medicationadministrations-json,1,0,0
Cross.list-simple-byid-medicationadministrations-xml,1,1,0
Cross.list-simple-byid-medicationdispenses,1,0,316
Cross.list-simple-byid-medicationdispenses-json,1,0,331
Cross.list-simple-byid-medicationdispenses-xml,1,0,328
Cross.list-simple-byid-medicationknowledges,1,1,0
Cross.list-simple-byid-medicationknowledges-json,1,1,0
Cross.list-simple-byid-medicationknowledges-xml,1,1,0
Cross.list-simple-byid-medicationrequests,1,0,1492
Cross.list-simple-byid-medicationrequests-json,1,1,1557
Cross.list-simple-byid-medicationrequests-xml,1,1,1544
Cross.list-simple-byid-medications,1,0,1076
Cross.list-simple-byid-medications-json,1,0,1126
Cross.list-simple-byid-medications-xml,1,0,1116
Cross.list-simple-byid-medicationstatements,1,1,0
Cross.list-simple-byid-medicationstatements-json,1,1,0
Cross.list-simple-byid-medicationstatements-xml,1,1,0
Cross.list-simple-byid-medicinalproductdefinitions,1,0,0
Cross.list-simple-byid-medicinalproductdefinitions-json,1,0,0
Cross.list-simple-byid-medicinalproductdefinitions-xml,1,0,0
Cross.list-simple-byid-messagedefinitions,1,0,0
Cross.list-simple-byid-messagedefinitions-json,1,1,0
Cross.list-simple-byid-messagedefinitions-xml,1,1,0
Cross.list-simple-byid-messageheaders,1,0,0
Cross.list-simple-byid-messageheaders-json,1,0,0
Cross.list-simple-byid-messageheaders-xml,1,0,0
Cross.list-simple-byid-metadataresources,1,0,0
Cross.list-simple-byid-metadataresources-json,1,0,0
Cross.list-simple-byid-metadataresources-xml,1,0,0
Cross.list-simple-byid-molecularsequences,1,0,0
Cross.list-simple-byid-molecularsequences-json,1,0,0
Cross.list-simple-byid-molecularsequences-xml,1,0,0
Cross.list-simple-byid-namingsystems,1,0,0
Cross.list-simple-byid-namingsystems-json,1,0,0
Cross.list-simple-byid-namingsystems-xml,1,1,0
Cross.list-simple-byid-nutritionintakes,1,0,0
Cross.list-simple-byid-nutritionintakes-json,1,0,0
Cross.list-simple-byid-nutritionintakes-xml,1,0,0
Cross.list-simple-byid-nutritionorders,1,1,0
Cross.list-simple-byid-nutritionorders-json,1,1,0
Cross.list-simple-byid-nutritionorders-xml,1,1,0
Cross.list-simple-byid-nutritionproducts,1,0,0
Cross.list-simple-byid-nutritionproducts-json,1,0,0
Cross.list-simple-byid-nutritionproducts-xml,1,0,0
Cross.list-simple-byid-observationdefinitions,1,0,0
Cross.list-simple-byid-observationdefinitions-json,1,0,0
Cross.list-simple-byid-observationdefinitions-xml,1,0,0
Cross.list-simple-byid-observations,1,0,0
Cross.list-simple-byid-observations-json,1,0,0
Cross.list-simple-byid-observations-xml,1,0,0
Cross.list-simple-byid-operationdefinitions,1,0,0
Cross.list-simple-byid-operationdefinitions-json,1,1,0
Cross.list-simple-byid-operationdefinitions-xml,1,1,0
Cross.list-simple-byid-operationoutcomes,1,0,0
Cross.list-simple-byid-operationoutcomes-json,1,0,0
Cross.list-simple-byid-operationoutcomes-xml,1,1,0
Cross.list-simple-byid-organizationaffiliations,1,0,0
Cross.list-simple-byid-organizationaffiliations-json,1,0,0
Cross.list-simple-byid-organizationaffiliations-xml,1,0,0
Cross.list-simple-byid-organizations,1,0,159
Cross.list-simple-byid-organizations-json,1,0,169
Cross.list-simple-byid-organizations-xml,1,0,167
Cross.list-simple-byid-packagedproductdefinitions,1,0,0
Cross.list-simple-byid-packagedproductdefinitions-json,1,0,0
Cross.list-simple-byid-packagedproductdefinitions-xml,1,0,0
Cross.list-simple-byid-parameters,1,0,0
Cross.list-simple-byid-parameters-json,1,1,0
Cross.list-simple-byid-parameters-xml,1,1,0
Cross.list-simple-byid-patients,1,0,128
Cross.list-simple-byid-patients-json,1,0,138
Cross.list-simple-byid-patients-xml,1,0,136
Cross.list-simple-byid-paymentnotices,1,0,0
Cross.list-simple-byid-paymentnotices-json,1,0,0
Cross.list-simple-byid-paymentnotices-xml,1,1,0
Cross.list-simple-byid-paymentreconciliations,1,0,0
Cross.list-simple-byid-paymentreconciliations-json,1,0,0
Cross.list-simple-byid-paymentreconciliations-xml,1,0,0
Cross.list-simple-byid-people,1,1,0
Cross.list-simple-byid-people-json,1,1,0
Cross.list-simple-byid-people-xml,1,1,0
Cross.list-simple-byid-permissions,1,1,0
Cross.list-simple-byid-permissions-json,1,1,0
Cross.list-simple-byid-permissions-xml,1,1,0
Cross.list-simple-byid-plandefinitions,1,1,0
Cross.list-simple-byid-plandefinitions-json,1,1,0
Cross.list-simple-byid-plandefinitions-xml,1,1,0
Cross.list-simple-byid-practitionerroles,1,0,168
Cross.list-simple-byid-practitionerroles-json,1,1,178
Cross.list-simple-byid-practitionerroles-xml,1,1,176
Cross.list-simple-byid-practitioners,1,0,168
Cross.list-simple-byid-practitioners-json,1,0,178
Cross.list-simple-byid-practitioners-xml,1,1,176
Cross.list-simple-byid-procedures,1,1,0
Cross.list-simple-byid-procedures-json,1,1,0
Cross.list-simple-byid-procedures-xml,1,1,0
Cross.list-simple-byid-provenances,1,0,0
Cross.list-simple-byid-provenances-json,1,1,0
Cross.list-simple-byid-provenances-xml,1,1,0
Cross.list-simple-byid-questionnaireresponses,1,1,0
Cross.list-simple-byid-questionnaireresponses-json,1,1,0
Cross.list-simple-byid-questionnaireresponses-xml,1,1,0
Cross.list-simple-byid-questionnaires,1,0,0
Cross.list-simple-byid-questionnaires-json,1,0,0
Cross.list-simple-byid-questionnaires-xml,1,1,0
Cross.list-simple-byid-regulatedauthorizations,1,0,0
Cross.list-simple-byid-regulatedauthorizations-json,1,0,0
Cross.list-simple-byid-regulatedauthorizations-xml,1,0,0
Cross.list-simple-byid-relatedpeople,1,0,0
Cross.list-simple-byid-relatedpeople-json,1,0,0
Cross.list-simple-byid-relatedpeople-xml,1,0,0
Cross.list-simple-byid-requestorchestrations,1,0,0
Cross.list-simple-byid-requestorchestrations-json,1,0,0
Cross.list-simple-byid-requestorchestrations-xml,1,0,0
Cross.list-simple-byid-requirements,1,0,0
Cross.list-simple-byid-requirements-json,1,0,0
Cross.list-simple-byid-requirements-xml,1,0,0
Cross.list-simple-byid-researchstudies,1,0,0
Cross.list-simple-byid-researchstudies-json,1,0,0
Cross.list-simple-byid-researchstudies-xml,1,1,0
Cross.list-simple-byid-researchsubjects,1,0,0
Cross.list-simple-byid-researchsubjects-json,1,0,0
Cross.list-simple-byid-researchsubjects-xml,1,0,0
Cross.list-simple-byid-resources,1,0,0
Cross.list-simple-byid-resources-json,1,0,0
Cross.list-simple-byid-resources-xml,1,0,0
Cross.list-simple-byid-riskassessments,1,1,0
Cross.list-simple-byid-riskassessments-json,1,1,0
Cross.list-simple-byid-riskassessments-xml,1,1,0
Cross.list-simple-byid-schedules,1,1,0
Cross.list-simple-byid-schedules-json,1,1,0
Cross.list-simple-byid-schedules-xml,1,1,0
Cross.list-simple-byid-searchparameters,1,0,165
Cross.list-simple-byid-searchparameters-json,1,0,175
Cross.list-simple-byid-searchparameters-xml,1,0,173
Cross.list-simple-byid-servicerequests,1,0,0
Cross.list-simple-byid-servicerequests-json,1,0,0
Cross.list-simple-byid-servicerequests-xml,1,0,0
Cross.list-simple-byid-slots,1,1,0
Cross.list-simple-byid-slots-json,1,1,0
Cross.list-simple-byid-slots-xml,1,1,0
Cross.list-simple-byid-specimen,1,0,0
Cross.list-simple-byid-specimen-json,1,0,0
Cross.list-simple-byid-specimen-xml,1,0,0
Cross.list-simple-byid-specimendefinitions,1,0,0
Cross.list-simple-byid-specimendefinitions-json,1,1,0
Cross.list-simple-byid-specimendefinitions-xml,1,1,0
Cross.list-simple-byid-structuredefinitions,1,1,2140
Cross.list-simple-byid-structuredefinitions-json,1,1,2245
Cross.list-simple-byid-structuredefinitions-xml,1,1,2224
Cross.list-simple-byid-structuremaps,1,0,0
Cross.list-simple-byid-structuremaps-json,1,0,0
Cross.list-simple-byid-structuremaps-xml,1,0,0
Cross.list-simple-byid-subscriptions,1,0,0
Cross.list-simple-byid-subscriptions-json,1,0,0
Cross.list-simple-byid-subscriptions-xml,1,1,0
Cross.list-simple-byid-subscriptionstatuses,1,1,0
Cross.list-simple-byid-subscriptionstatuses-json,1,1,0
Cross.list-simple-byid-subscriptionstatuses-xml,1,1,0
Cross.list-simple-byid-subscriptiontopics,1,0,0
Cross.list-simple-byid-subscriptiontopics-json,1,0,0
Cross.list-simple-byid-subscriptiontopics-xml,1,0,0
Cross.list-simple-byid-substancedefinitions,1,0,0
Cross.list-simple-byid-substancedefinitions-json,1,0,0
Cross.list-simple-byid-substancedefinitions-xml,1,0,0
Cross.list-simple-byid-substancenucleicacids,1,0,0
Cross.list-simple-byid-substancenucleicacids-json,1,0,0
Cross.list-simple-byid-substancenucleicacids-xml,1,1,0
Cross.list-simple-byid-substancepolymers,1,0,0
Cross.list-simple-byid-substancepolymers-json,1,0,0
Cross.list-simple-byid-substancepolymers-xml,1,0,0
Cross.list-simple-byid-substanceproteins,1,0,0
Cross.list-simple-byid-substanceproteins-json,1,0,0
Cross.list-simple-byid-substanceproteins-xml,1,0,0
Cross.list-simple-byid-substancereferenceinformations,1,0,0
Cross.list-simple-byid-substancereferenceinformations-json,1,0,0
Cross.list-simple-byid-substancereferenceinformations-xml,1,0,0
Cross.list-simple-byid-substances,1,1,0
Cross.list-simple-byid-substances-json,1,1,0
